Date,Title,completion_status,completion_percentage
2023-08-02,King - FOH Opening Procedure,incomplete,0
2023-08-05,Deep Cleaning - Saturday,incomplete,0
2023-08-07,King - FOH Opening Procedure,incomplete,0
2023-08-09,King - FOH Opening Procedure,incomplete,0
2023-08-10,FOH Closing Procedure,incomplete,96
2023-08-10,King - Daily Prep,incomplete,80
2023-08-11,King - FOH Opening Procedure,incomplete,0
2023-08-12,FOH Closing Procedure,incomplete,96
2023-08-12,Deep Cleaning - Saturday,incomplete,0
2023-08-12,King - FOH Opening Procedure,incomplete,0
2023-08-14,King - FOH Opening Procedure,incomplete,0
2023-08-15,King - FOH Opening Procedure,incomplete,0
2023-08-16,King - FOH Opening Procedure,incomplete,0
2023-08-17,King - Daily Prep,incomplete,90
2023-08-18,King - FOH Opening Procedure,incomplete,0
2023-08-19,Deep Cleaning - Saturday,incomplete,25
2023-08-19,King - FOH Opening Procedure,incomplete,0
2023-08-21,FOH Closing Procedure,incomplete,96
2023-08-21,King - FOH Opening Procedure,incomplete,0
2023-08-23,King - FOH Opening Procedure,incomplete,0
2023-08-25,King - FOH Opening Procedure,incomplete,0
2023-08-26,King - Daily Prep,incomplete,90
2023-08-26,Deep Cleaning - Saturday,incomplete,0
2023-08-26,King - FOH Opening Procedure,incomplete,0
2023-08-27,Deep Cleaning - Sunday,incomplete,0
2023-08-27,King - Daily Prep,incomplete,90
2023-08-27,King - FOH Opening Procedure,incomplete,0
2023-08-28,Deep Cleaning - Monday,incomplete,0
2023-08-30,King - FOH Opening Procedure,incomplete,0
